,0,1,2,3
"[6.0, 6.0, 94.0, 94.0]",-0.0004295713865331161,-1.69631943456296e-06,-0.10466174574128355,-0.00016689821914874696
"[6.0, 106.0, 94.0, 194.0]",-8.23565884555637e-05,3.3123561655730954e-07,-7.703020288909201e-07,-7.473389502455194e-07
"[6.0, 206.0, 94.0, 294.0]",-7.776894520149058e-07,2.7736527035787106e-06,-7.563908748927741e-07,1.3200299087675396e-08
hell,0.0,0.0,0.0,0.0
"[106.0, 106.0, 194.0, 194.0]",-0.0199,-1.446518635544546e-08,-8.910000000000001e-05,2.3879228038337355e-09
"[206.0, 106.0, 294.0, 194.0]",-0.029701,3.0181983793136477e-09,4.180479946369545e-13,0.0
"[106.0, 206.0, 194.0, 294.0]",-8.910000000000001e-05,1.5071501476192254e-06,-1.5927322621366365e-06,-7.144928565788858e-09
"[206.0, 206.0, 294.0, 294.0]",-0.00017378055089623475,3.365661642443037e-19,1.912686049399733e-05,0.0
"[306.0, 206.0, 394.0, 294.0]",3.2919338238041034e-15,3.2553842666530384e-06,0.0020828462979060967,-1.5798231900000002e-06
"[406.0, 206.0, 494.0, 294.0]",0.00044272340347883054,9.135413341621604e-05,0.05613093218625996,4.81702713985021e-06
"[506.0, 206.0, 594.0, 294.0]",0.17135194609816437,4.70308771799277e-06,5.46718203619346e-06,0.0003518390966276251
"[606.0, 206.0, 694.0, 294.0]",0.0,0.0,0.0,0.001554945366864365
"[606.0, 106.0, 694.0, 194.0]",0.8206843164052892,6.561000000000002e-11,0.022687271917407593,0.00558835911146446
terminal,0.0,0.0,0.0,0.0
"[306.0, 106.0, 394.0, 194.0]",-0.01,5.075002808221082e-08,-0.00017910000000000002,0.0
"[406.0, 106.0, 494.0, 194.0]",-0.029701,0.0,0.023820362362052077,0.0
"[406.0, 306.0, 494.0, 394.0]",0.01442010758182525,5.708984140043027e-05,7.38011028298747e-08,3.4588688266850453e-06
"[506.0, 306.0, 594.0, 394.0]",0.0017731355388586147,0.0,0.0,0.0
"[306.0, 306.0, 394.0, 394.0]",1.9051026338539196e-05,2.927082739565737e-05,0.003423876914458901,1.362007052781827e-06
"[206.0, 306.0, 294.0, 394.0]",-1.4622219855187227e-06,2.795774057363235e-06,0.0006635245420090698,1.5164391293203224e-06
"[606.0, 306.0, 694.0, 394.0]",0.0,0.0,0.0,2.2821217238864677e-06
"[106.0, 306.0, 194.0, 394.0]",1.737970472659957e-09,1.334439365537911e-06,0.00011968898875027969,3.312591094001999e-08
"[6.0, 306.0, 94.0, 394.0]",9.507845501781816e-10,5.559641321146077e-08,1.806147302315658e-05,7.28963986569201e-14
"[506.0, 106.0, 594.0, 194.0]",-0.0864827525163591,0.0013421997530692381,0.4449558598208605,0.00019401649059870647
