,0,1,2,3
"[6.0, 6.0, 94.0, 94.0]",-0.00024676270015978576,1.075643476995092e-07,-0.09561792499119551,-0.00017383147476556583
"[6.0, 106.0, 94.0, 194.0]",-7.831371408511657e-05,2.776903841566936e-05,-0.00016863366749722216,-2.1426054282789443e-06
"[6.0, 206.0, 94.0, 294.0]",-4.171869422435563e-06,-1.076796333172686e-06,0.0001735797249366779,-2.448030446890165e-07
hell,0.0,0.0,0.0,0.0
"[106.0, 106.0, 194.0, 194.0]",-0.029701,-7.939217852026966e-07,-0.00017910000000000002,1.2985641579532338e-07
"[206.0, 106.0, 294.0, 194.0]",-0.029701,2.123520219867851e-05,-9e-05,-6.796535621154911e-11
"[106.0, 206.0, 194.0, 294.0]",-7.818939282863433e-05,6.191343519722942e-07,0.0009513381581548546,-7.528932735972944e-07
"[206.0, 206.0, 294.0, 294.0]",-8.550765766601882e-05,7.345414990636238e-05,0.004820819921390403,5.319931952737167e-06
"[306.0, 206.0, 394.0, 294.0]",1.214166896070409e-06,5.521018616524988e-05,0.020284777871522764,4.4712353564128544e-05
"[406.0, 206.0, 494.0, 294.0]",1.3445124076228523e-05,0.0004631233323390938,0.0710540635343958,7.511976224661467e-06
"[506.0, 206.0, 594.0, 294.0]",0.00010980650528750479,0.0004403839987449281,0.19967252539586186,0.0006045860448175845
"[606.0, 206.0, 694.0, 294.0]",0.454063465963642,0.011856573299725615,0.002732790284802635,0.00226411293151372
"[606.0, 106.0, 694.0, 194.0]",0.8361920302919125,0.011315332861898866,0.020683160183146334,0.00015199821853514176
terminal,0.0,0.0,0.0,0.0
"[306.0, 106.0, 394.0, 194.0]",-0.0199,0.00011583944407214654,0.0,0.0
"[406.0, 106.0, 494.0, 194.0]",-0.01,0.000908934823294867,0.0,0.0
"[506.0, 106.0, 594.0, 194.0]",-0.01,0.008169453822621894,0.0,0.0
