,0,1,2,3
"[6.0, 6.0, 54.0, 54.0]",5.2301906438372106e-14,5.8802885395096795e-09,-0.0199,4.0601470161262373e-13
"[6.0, 66.0, 54.0, 114.0]",3.699131346626306e-11,1.307176553711539e-10,7.395644033766354e-08,1.4870247174136837e-16
"[6.0, 126.0, 54.0, 174.0]",0.0,0.0,9.751029417637594e-08,0.0
hell,0.0,0.0,0.0,0.0
"[66.0, 66.0, 114.0, 114.0]",-0.0490099501,9.215832280497842e-07,2.2176386724837769e-10,6.3465892694756e-12
"[126.0, 66.0, 174.0, 114.0]",-0.0199,1.0648434207080896e-06,0.0,0.0
"[66.0, 126.0, 114.0, 174.0]",2.0212277688754217e-09,3.4480459637582687e-12,1.0958888895419335e-05,2.328991356511997e-11
"[66.0, 186.0, 114.0, 234.0]",0.0,0.0,2.547383234200474e-09,0.0
"[6.0, 186.0, 54.0, 234.0]",0.0,0.0,0.0,0.0
"[126.0, 186.0, 174.0, 234.0]",1.3591441635449937e-06,0.0,3.338118733309888e-12,0.0
"[186.0, 186.0, 234.0, 234.0]",0.0,0.0,1.8891019163930144e-08,0.0
"[246.0, 186.0, 294.0, 234.0]",8.327697941274461e-05,0.0,0.0,0.0
"[306.0, 186.0, 354.0, 234.0]",0.0,0.0,0.0,0.0
"[366.0, 186.0, 414.0, 234.0]",0.0009507837499200167,0.0,0.0,0.0
"[366.0, 126.0, 414.0, 174.0]",0.18442386453801973,2.501929280455451e-07,0.0022537746589780935,0.000151610233360495
"[366.0, 66.0, 414.0, 114.0]",0.5744098766113452,0.00036258013904047275,0.016327199391098293,7.129611916200001e-06
"[306.0, 126.0, 354.0, 174.0]",0.0,0.0,0.04255291388919133,4.658037176004981e-06
"[306.0, 66.0, 354.0, 114.0]",-0.029701,0.0,0.00983632744813575,0.0
"[246.0, 66.0, 294.0, 114.0]",-0.0199,2.165168611111946e-06,6.551740518644262e-05,0.0
"[246.0, 126.0, 294.0, 174.0]",2.5684250537764874e-07,2.057771125865855e-07,0.007409919806142838,5.90151395203198e-08
"[186.0, 126.0, 234.0, 174.0]",1.4583423771826986e-08,6.343790415100582e-11,0.001075693068400258,1.0255152804015922e-06
"[186.0, 66.0, 234.0, 114.0]",-0.01,6.113603561349927e-06,0.0,0.0
"[126.0, 126.0, 174.0, 174.0]",3.366717572467047e-11,3.0043068599788996e-14,0.00013246920899192302,7.927205862204738e-09
terminal,0.0,0.0,0.0,0.0
